Tipo de deporte;Deporte;Nombre de la institución o espacio;Calle;Número;Barrio de Pilar;Actividad / Deporte arancelado;Género;Edades / Categorías
Deportes Individuales;Tenis / Padel;Backyard;Chingolo ;863;Champagnat;SI;MIXTO;Niños/as (hasta 12 años)
Deportes Individuales;Tenis / Padel;UNDERDOGS;Estanislao Lopez ;498;Pilar (cabecera);SI;MIXTO;Todas las edades
Deportes Individuales;Tenis / Padel;CEDEC CENTER;Lorenzo Lopez ;440;Pilar (cabecera);SI;;
Deportes Individuales;Tenis / Padel;STUDIO 32 JIU JITSU;Almte. Guillermo Brown ;994;Pilar (cabecera);SI;;
Deportes Individuales;Tenis / Padel;KICKBOXING PILAR;Rastreador Fournier ;1851;Pilar (cabecera);SI;;
Deportes Individuales;Tenis / Padel;CENTRO BELLATOR;Iparraguirre 770 Derqui;770;Presidente Derqui;SI;;
Deportes Individuales;Tenis / Padel;KICKBOXING PILAR;Av.constitucion  Manuel Alberti;2260;Manuel Alberti;SI;;
Deportes Individuales;Tenis / Padel;Megatlon Pilar;Sgto Juan Bautista Cabral, la lonja;700;La Lonja;SI;;
Deportes Individuales;Tenis / Padel;Club Municipal Peruzzotti;Pedro de Mendoza , Pilar.;1853;Pilar (cabecera);NO;;
Deportes Individuales;Tenis / Padel;Club Municipal Tribarrial;Dr. Naón y Martín Coronado, Pilar.;;Pilar (cabecera);NO;;
Deportes Individuales;Tenis / Padel;Club Municipal Villa Astolfi–Manzone;Constitución 3209.;3209;Villa Astolfi;NO;;
Deportes Individuales;Tenis / Padel;Escuela Municipal de Boxeo – Presidente Derqui;Isolina Raíces y Rivadavia, frente a la Plaza Antonio Toro;;Presidente Derqui;NO;;
Deportes Individuales;Tenis / Padel;Club Municipal Lagomarsino;Brasil ;5020;Del Viso;NO;;
Deportes Individuales;Tenis / Padel;Union de Del viso;Chiclana ;7600;Del Viso;NO;;
Deportes Individuales;Tenis / Padel;CLUB PRESIDENTE DERQUI;Dorrego Manuel;866;Presidente Derqui;NO;MIXTO;
Deportes Individuales;Tenis / Padel;Club municipal Rusticucci;Nestor Kirchner ;1400;Pilar Sur;NO;MIXTO;Adolescentes (de 12 a 18 años)
Deportes de Conjunto;Tenis / Padel;Club municipal Ricardo Rusticucci;Nestor Kirchner ;1400;Pilar Sur;NO;MIXTO;Niños/as (hasta 12 años)
Deportes de Conjunto;Tenis / Padel;Club municipal Del Viso;Polonia;6889;Del Viso;NO;MIXTO;Adolescentes (de 12 a 18 años)
Deportes de Conjunto;Tenis / Padel;Instituto Federico G. Dickens;Av. Ing. Eduardo Madero;2076;Del Viso;SI;MIXTO;Adolescentes (de 12 a 18 años)
Deportes Individuales;Tenis / Padel;Club municipal Rusticucci;Nestor Kirchner ;1400;Pilar Sur;NO;MIXTO;Todas las edades
Deportes Individuales;Tenis / Padel;Pilar Tenis ;Tandil, entre Daireaux y Saliquelo;;Champagnat;SI;MIXTO;Todas las edades
Deportes Individuales;Tenis / Padel;Pilar Tenis Ranch ;Seguí;1550;La Lonja;SI;MIXTO;Todas las edades
Deportes Individuales;Tenis / Padel;PPT PILAR Padel;Las Camelias;3327;Manuel Alberti;SI;MIXTO;Niños/as (hasta 12 años)
Deportes Individuales;Tenis / Padel;Club Atlético Pilar;Ituzaingó ;759;Pilar (cabecera);SI;MIXTO;Todas las edades
Deportes Individuales;Tenis / Padel;Tenis Champion Pilar;Jorge Manfredi;;Pilar (cabecera);SI;MIXTO;Todas las edades
Deportes Individuales;Tenis / Padel;World Padel Center Pilar;José Verdi y Roberto Caamaño;;La Lonja;SI;MIXTO;Todas las edades
Deportes Individuales;Tenis / Padel;;;;;SI;;
Deportes Individuales;Tenis / Padel;Tenis Manantiales;Ruta provincial 8 Km 45;;Del Viso;SI;MIXTO;Todas las edades
Deportes Individuales;Tenis / Padel;Pilar Padel Center ;Sargento Beliera ;1900;Presidente Derqui;SI;MIXTO;Todas las edades
Deportes Individuales;Tenis / Padel;Alpina Tenis Club;Luján ;181;Pilar (cabecera);SI;MIXTO;Todas las edades
Deportes Individuales;Tenis / Padel;La Palmera Tenis Cancha ;Los Lirios;1000-1198;Pilar (cabecera);SI;MIXTO;Todas las edades
